mm_dd_hh,ghi,dhi,dni,temp
01-19 10:00,228.0,50.0,691.6,4.6
01-19 11:00,283.0,55.0,741.7,6.2
01-19 12:00,296.0,56.0,754.3,7.2
01-19 13:00,263.0,54.0,723.3,6.8
01-19 14:00,189.0,47.0,640.3,6.2
01-19 15:00,88.0,31.0,470.3,4.6
01-19 16:00,7.0,4.0,67.5,3.2
01-19 17:00,0.0,0.0,0.0,2.9
01-19 18:00,0.0,0.0,0.0,3.0
01-19 19:00,0.0,0.0,0.0,3.0
01-19 20:00,0.0,0.0,0.0,2.8
01-19 21:00,0.0,0.0,0.0,2.7
01-19 22:00,0.0,0.0,0.0,2.5
01-19 23:00,0.0,0.0,0.0,2.3
01-20 00:00,0.0,0.0,0.0,2.3
01-20 01:00,0.0,0.0,0.0,2.7
01-20 02:00,0.0,0.0,0.0,2.8
01-20 03:00,0.0,0.0,0.0,2.5
01-20 04:00,0.0,0.0,0.0,2.0
01-20 05:00,0.0,0.0,0.0,1.2
01-20 06:00,0.0,0.0,0.0,0.7
01-20 07:00,0.0,0.0,0.0,0.3
01-20 08:00,36.0,18.0,240.0,0.7
01-20 09:00,136.0,45.0,521.9,1.9
01-20 10:00,221.0,69.0,583.4,2.6
01-20 11:00,258.0,101.0,505.1,3.1
01-20 12:00,234.0,145.0,276.6,3.2
01-20 13:00,211.0,123.0,300.6,3.3
01-20 14:00,160.0,89.0,314.6,2.8
01-20 15:00,82.0,42.0,319.7,1.6
01-20 16:00,8.0,5.0,64.6,0.2
01-20 17:00,0.0,0.0,0.0,-0.4
01-20 18:00,0.0,0.0,0.0,-0.6
01-20 19:00,0.0,0.0,0.0,-0.7
01-20 20:00,0.0,0.0,0.0,-0.9
01-20 21:00,0.0,0.0,0.0,-1.5
01-20 22:00,0.0,0.0,0.0,-2.0
01-20 23:00,0.0,0.0,0.0,-2.5
01-21 00:00,0.0,0.0,0.0,-2.5
01-21 01:00,0.0,0.0,0.0,-1.8
01-21 02:00,0.0,0.0,0.0,-2.0
01-21 03:00,0.0,0.0,0.0,-2.1
01-21 04:00,0.0,0.0,0.0,-2.0
01-21 05:00,0.0,0.0,0.0,-2.0
01-21 06:00,0.0,0.0,0.0,-2.0
01-21 07:00,0.0,0.0,0.0,-2.2
01-21 08:00,31.0,22.0,117.6,-1.6
01-21 09:00,103.0,78.0,141.0,-0.4
01-21 10:00,214.0,85.0,489.1,1.1
01-21 11:00,244.0,122.0,388.1,2.5
01-21 12:00,200.0,156.0,135.2,2.9
01-21 13:00,205.0,132.0,246.1,2.8
01-21 14:00,136.0,102.0,148.0,2.3
01-21 15:00,89.0,43.0,356.4,-0.1
01-21 16:00,10.0,6.0,82.4,-1.8
01-21 17:00,0.0,0.0,0.0,-1.6
01-21 18:00,0.0,0.0,0.0,-1.6
01-21 19:00,0.0,0.0,0.0,-2.3
01-21 20:00,0.0,0.0,0.0,-2.5
01-21 21:00,0.0,0.0,0.0,-2.7
01-21 22:00,0.0,0.0,0.0,-2.8
01-21 23:00,0.0,0.0,0.0,-3.0
01-22 00:00,0.0,0.0,0.0,-3.3
01-22 01:00,0.0,0.0,0.0,-2.3
01-22 02:00,0.0,0.0,0.0,-2.8
01-22 03:00,0.0,0.0,0.0,-3.0
01-22 04:00,0.0,0.0,0.0,-2.5
01-22 05:00,0.0,0.0,0.0,-2.5
01-22 06:00,0.0,0.0,0.0,-2.5
01-22 07:00,0.0,0.0,0.0,-2.2
01-22 08:00,36.0,20.0,204.9,-1.1
01-22 09:00,130.0,61.0,382.5,0.9
01-22 10:00,227.0,70.0,587.7,3.0
01-22 11:00,281.0,84.0,619.6,4.3
01-22 12:00,256.0,135.0,367.4,4.8
01-22 13:00,220.0,132.0,292.7,3.5
01-22 14:00,147.0,110.0,158.3,3.0
01-22 15:00,65.0,60.0,37.6,1.5
01-22 16:00,9.0,9.0,0.0,0.3
01-22 17:00,0.0,0.0,0.0,-0.3
01-22 18:00,0.0,0.0,0.0,-0.4
01-22 19:00,0.0,0.0,0.0,-0.8
01-22 20:00,0.0,0.0,0.0,-1.1
01-22 21:00,0.0,0.0,0.0,-1.2
01-22 22:00,0.0,0.0,0.0,-1.5
01-22 23:00,0.0,0.0,0.0,-1.3
01-23 00:00,0.0,0.0,0.0,-0.6
01-23 01:00,0.0,0.0,0.0,0.1
01-23 02:00,0.0,0.0,0.0,0.4
01-23 03:00,0.0,0.0,0.0,-0.1
01-23 04:00,0.0,0.0,0.0,-0.1
01-23 05:00,0.0,0.0,0.0,0.2
01-23 06:00,0.0,0.0,0.0,0.3
01-23 07:00,0.0,0.0,0.0,0.2
01-23 08:00,11.0,10.0,12.5,1.2
01-23 09:00,27.0,27.0,0.0,1.8
01-23 10:00,35.0,35.0,0.0,2.8
01-23 11:00,28.0,28.0,0.0,3.7
01-23 12:00,58.0,57.0,3.0,4.8
01-23 13:00,39.0,39.0,0.0,3.6
01-23 14:00,24.0,24.0,0.0,3.7
01-23 15:00,72.0,46.0,189.5,3.8
01-23 16:00,10.0,8.0,37.9,3.2
01-23 17:00,0.0,0.0,0.0,2.4
01-23 18:00,0.0,0.0,0.0,1.6
01-23 19:00,0.0,0.0,0.0,1.5
01-23 20:00,0.0,0.0,0.0,1.1
01-23 21:00,0.0,0.0,0.0,0.6
01-23 22:00,0.0,0.0,0.0,0.1
01-23 23:00,0.0,0.0,0.0,0.1
01-24 00:00,0.0,0.0,0.0,0.0
01-24 01:00,0.0,0.0,0.0,2.2
01-24 02:00,0.0,0.0,0.0,3.1
01-24 03:00,0.0,0.0,0.0,2.9
01-24 04:00,0.0,0.0,0.0,3.6
01-24 05:00,0.0,0.0,0.0,3.8
01-24 06:00,0.0,0.0,0.0,3.5
01-24 07:00,0.0,0.0,0.0,3.8
01-24 08:00,42.0,19.0,282.6,3.6
01-24 09:00,149.0,46.0,551.3,5.0
01-24 10:00,243.0,55.0,685.9,6.6
01-24 11:00,284.0,82.0,620.8,8.0
01-24 12:00,258.0,122.0,403.3,8.5
01-24 13:00,215.0,137.0,252.7,7.9
01-24 14:00,136.0,104.0,132.3,7.3
01-24 15:00,51.0,49.0,14.2,6.9
01-24 16:00,5.0,5.0,0.0,7.2
